time,x,y
1722679787.2558742,323.00,"356.00
"
1722679787.356591,323.00,"356.00
"
1722679787.457528,323.00,"356.00
"
1722679787.562644,345.00,"373.00
"
1722679787.667701,345.00,"373.00
"
1722679787.769621,330.00,"363.00
"
1722679787.8734741,330.00,"363.00
"
1722679787.979658,330.00,"363.00
"
1722679788.082145,316.00,"368.00
"
1722679788.187374,316.00,"368.00
"
1722679788.289175,332.00,"350.00
"
1722679788.3918238,332.00,"350.00
"
1722679788.4926898,340.00,"355.00
"
1722679788.593257,318.00,"368.00
"
1722679788.694196,318.00,"368.00
"
1722679788.796387,330.00,"361.00
"
1722679788.898162,330.00,"361.00
"
1722679788.9988291,337.00,"355.00
"
1722679789.103679,337.00,"355.00
"
1722679789.206972,330.00,"347.00
"
1722679789.308841,342.00,"342.00
"
1722679789.413128,342.00,"342.00
"
1722679789.515251,340.00,"345.00
"
1722679789.620776,340.00,"345.00
"
1722679789.7241988,342.00,"352.00
"
1722679789.826338,325.00,"350.00
"
1722679789.9288151,325.00,"350.00
"
1722679790.03367,335.00,"352.00
"
1722679790.134324,335.00,"352.00
"
1722679790.2384908,348.00,"368.00
"
1722679790.342608,348.00,"368.00
"
1722679790.4450629,348.00,"368.00
"
1722679790.54668,332.00,"347.00
"
1722679790.652121,332.00,"347.00
"
1722679790.752521,332.00,"356.00
"
1722679790.853384,332.00,"356.00
"
1722679790.9586492,325.00,"350.00
"
1722679791.063498,325.00,"350.00
"
1722679791.168897,325.00,"350.00
"
1722679791.274412,337.00,"356.00
"
1722679791.37829,337.00,"356.00
"
1722679791.4835358,348.00,"345.00
"
1722679791.586863,348.00,"345.00
"
1722679791.69244,348.00,"345.00
"
1722679791.795585,348.00,"345.00
"
1722679791.8964942,348.00,"345.00
"
1722679792.000761,325.00,"366.00
"
1722679792.102464,325.00,"366.00
"
1722679792.207736,332.00,"361.00
"
1722679792.312959,332.00,"361.00
"
1722679792.418248,332.00,"361.00
"
1722679792.524147,325.00,"358.00
"
1722679792.625213,325.00,"358.00
"
1722679792.727539,340.00,"345.00
"
1722679792.83302,340.00,"345.00
"
1722679792.9387178,340.00,"345.00
"
1722679793.0424051,337.00,"363.00
"
1722679793.145639,337.00,"363.00
"
1722679793.251083,330.00,"355.00
"
1722679793.356093,330.00,"355.00
"
1722679793.457729,321.00,"352.00
"
1722679793.559417,321.00,"352.00
"
1722679793.664242,330.00,"350.00
"
1722679793.769387,332.00,"352.00
"
1722679793.8727229,332.00,"352.00
"
1722679793.975143,337.00,"358.00
"
1722679794.080609,337.00,"358.00
"
1722679794.1845388,337.00,"358.00
"
1722679794.289411,313.00,"347.00
"
1722679794.393945,313.00,"347.00
"
1722679794.499302,332.00,"355.00
"
1722679794.603777,332.00,"355.00
"
1722679794.705529,332.00,"335.00
"
1722679794.8109398,332.00,"335.00
"
1722679794.913568,332.00,"335.00
"
1722679795.015189,327.00,"350.00
"
1722679795.120648,327.00,"350.00
"
1722679795.223066,330.00,"345.00
"
1722679795.3272269,330.00,"345.00
"
1722679795.4301739,337.00,"347.00
"
1722679795.535336,332.00,"358.00
"
1722679795.639581,332.00,"358.00
"
1722679795.743252,332.00,"358.00
"
1722679795.843749,332.00,"358.00
"
1722679795.9488142,337.00,"355.00
"
1722679796.053674,337.00,"355.00
"
1722679796.156197,337.00,"355.00
"
1722679796.261495,337.00,"355.00
"
1722679796.363489,337.00,"355.00
"
1722679796.464073,345.00,"345.00
"
1722679796.568245,345.00,"345.00
"
1722679796.6714811,345.00,"345.00
"
1722679796.7750459,351.00,"356.00
"
1722679796.875901,351.00,"356.00
"
1722679796.976479,337.00,"358.00
"
1722679797.0767412,337.00,"358.00
"
1722679797.181924,342.00,"352.00
"
1722679797.287061,342.00,"352.00
"
1722679797.392438,342.00,"352.00
"
1722679797.493678,327.00,"352.00
"
1722679797.5991948,327.00,"352.00
"
1722679797.703958,327.00,"358.00
"
